unknowN;10385;1;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
kazakey;11899;1;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
str;11898;1;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
heav1k;11900;1;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
amw;10343;1;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
SNk;9445;2;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
roman;1154;2;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
Rachell;11892;2;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
dreaM;8728;2;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
kamaz1k;9446;2;2304104;Handface;YoungThugs;6549;7164;12;16;2016-August-21
SZPERO;973;1;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
mouz;8323;1;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
MICHU;7356;1;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
Furlan;8327;1;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
rallen;5388;1;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
MODDII;545;2;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
valde;9031;2;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
Friis;7;2;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
Snappi;922;2;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
gla1ve;7412;2;2304087;Kinguin;X;6134;7059;0;2;2016-August-21
ZywOo;11893;1;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
nexa;9618;1;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
EMENK;10853;1;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
derciak;10851;1;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
shhhack;10852;1;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
nakoN ;11699;2;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
zeduce;11710;2;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
maximS ;11698;2;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
delio;11700;2;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21
cox;11112;2;2304095;nevermind;MMCLUB;6683;7119;18;21;2016-August-21